,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
book_apotheosis_trophy_room_description,"I have come to learn this Tree was deemed unfitting of.. certain.. accomplishments by the gods. \nCross the lava, descend where you would not normal. \nThere they will humour you.","Я узнал, что боги сочли это Дерево непригодным для... определённых... свершений. \nПересеките лаву, спуститесь туда, куда обычно не спускаются. \nТам они будут над вами насмехаться.",,,,,,,"我得知""树""被众神认为不适合完成某些任务。\n穿过熔岩，下到你从未敢下之处。\n然后众神将会取笑你。",,,,,
book_apotheosis_trophy_room_description_purgatory,"I have come to learn this Tree was deemed unfitting of.. certain.. accomplishments by the gods. \nSpelunk east before you visit their place of worship, cross the fungus, holding the ceiling dear. \nThere they will humour you.","Я узнал, что боги сочли это Дерево непригодным для... определённых... свершений. \nСпешите на Восток, прежде чем посетить место их поклонения, перейдите по грибку, держась за потолок. \nТам они будут над вами насмехаться.",,,,,,,"我得知""树""被众神认为不适合完成某些任务。\n在你拜访他们的崇拜之地之前，向东钻过洞穴，穿过真菌，爬上天花板。\n然后众神将会取笑你。",,,,,
mat_cloth,Cloth,Ткань,,,,,,,布,布,,,,
book_apotheosis_cat_rat,Cat Lover's Notes,Записи любителя кошек,,,,,,,爱猫者的笔记,ネコ愛好家のメモ,,,,
book_apotheosis_cat_rat_description,My cats seem scared of normal rats.. \nBut have an irresistible hate towards magical rats for some reason. \nIt's kind of cute.. But I can't brush away the feeling they distance themselves with truly divine purpose...,"Мои кошки боятся обычных крыс... \nНо почему-то испытывают непреодолимую ненависть к магическим крысам. \nЭто даже мило... Но я не могу избавиться от ощущения, что они отдаляются от меня с поистине божественной целью...",,,,,,,我的猫咪们似乎害怕普通的老鼠...\n却不知为何对魔法老鼠有着无法抑制的仇恨。\n这有点可爱...但它们因真正的神圣目的而离开时的那种感觉，\n却在我脑海中始终挥之不去...,,,,,
item_apotheosis_chest_cursed,Pandora's Chest,Сундук Пандоры,,,,,,,潘多拉的箱子,パンドラの箱,,,,
status_apotheosis_magicwet_ui,Magical Wetness,Магическая влажность,,,,,,,潮湿（魔法）,魔法の水濡れ,,,,
statusdesc_apotheosis_magicwet_ui,Wet clothes protect you from fire.,Мокрая одежда защищает вас от огня.,,,,,,,潮湿的衣服可保护你免受火焰伤害,服がずぶ濡れだ。火には強そう。,,,,
status_apotheosis_magicfire_ui,Magical Fire,Волшебный огонь,,,,,,,着火（魔法）,魔法の炎,,,,
statusdesc_apotheosis_magicfire_ui,You're on fire! Find water quickly!,Вы горите! Быстро найдите воду!,,,,,,,你着火了。快去找水来！,服に火が付いた！水を被らなくては！,,,,
status_apotheosis_magicurine_ui,Magical Jarate,Волшебный Банкате,,,,,,,瓶手道（魔法）,魔法の尿濡れ,,,,
statusdesc_apotheosis_magicurine_ui,Wet clothes protect you from fire. \nYou sense an increased chance of receiving critical strikes.,Мокрая одежда защищает вас от огня. \nВы чувствуете повышенную вероятность получения критических попаданий по себе.,,,,,,,潮湿的衣服可保护你免受火焰伤害。\n你感觉自己更容易被打出暴击。,服がずぶ濡れだ。火には強そう。敵の攻撃がクリティカルヒットする確率が上昇している。,,,,
status_apotheosis_magicpolymorph_ui,Magical Polymorph,Волшебный полиморфизм,,,,,,,混乱变形（魔法）,魔法の多形濡れ,,,,
statusdesc_apotheosis_magicpolymorph_ui,You have been polymorphed into a vulnerable sheep!,Вы превратились в беззащитную овцу!,,,,,,,你成了一只小绵羊。,か弱い子羊になってしまった。,,,,
log_apotheosis_reality_mutation_00,YOU SENSE THE REALITY HAS SHIFTED,"ВЫ ЧУВСТВУЕТЕ, ЧТО В РЕАЛЬНОСТИ ЧТО-ТО СМЕСТИЛОСЬ",,,,,,,你感觉到现实受到了变换,世界が転移した！,,,,
log_apotheosis_reality_mutation_01,YOU FEEL THE WORLD'S CREATURES HAVE CHANGED,"ВЫ ЧУВСТВУЕТЕ, ЧТО СУЩЕСТВА МИРА ИЗМЕНИЛИСЬ",,,,,,,你感觉到生命的法则发生了改变,数多の生命がその姿を変えていく！,,,,
log_apotheosis_reality_mutation_02,THE WORLD'S LIFE HAS BEEN SHAKEN,ЖИЗНЬ МИРА ПОШАТНУЛАСЬ,,,,,,,生命的法则受到了动摇,生命たちの存在が揺らいでいる！,,,,
log_apotheosis_reality_mutation_03,YOU SENSE THE PATH OF EVOLUTION HAS CHANGED,"ВЫ ЧУВСТВУЕТЕ, ЧТО ПУТЬ ЭВОЛЮЦИИ ИЗМЕНИЛСЯ",,,,,,,你感觉到生命的演化走上了一条不同的路,進化の道筋が変わっていく！,,,,
log_apotheosis_reality_mutation_04,YOU FEEL REALITY HAS BEEN ALTERED,"ВЫ ЧУВСТВУЕТЕ, ЧТО В РЕАЛЬНОСТИ ЧТО-ТО ИЗМЕНИЛОСЬ",,,,,,,你感觉到现实受到了更改,世界が姿を変えてしまった！,,,,
log_apotheosis_reality_mutation_05,YOU FEEL LIFE IN THE COSMOS HAS SHIFTED,"ВЫ ЧУВСТВУЕТЕ, ЧТО ЖИЗНЬ В КОСМОСЕ СДВИНУЛАСЬ",,,,,,,你感觉到生命的运行规律受到了变换,宇宙の法則が乱れる！,,,,
material_apotheosis_meat_irritating,Irritating Meat,Раздражающее мясо,,,,,,,刺鼻的肉,イライラ肉,,,,
material_apotheosis_meat_decaying,Decaying Meat,Разлагающееся мясо,,,,,,,腐烂的肉,腐食の肉,,,,
material_apotheosis_meat_feathery,Feathery Meat,Пернатое мясо,,,,,,,带羽的肉,フワフワ肉,,,,
material_apotheosis_meat_centipede,Centipede Meat,Мясо сороконожки,,,,,,,蜈蚣的肉,ムカデの肉,,,,
material_apotheosis_sand_pink,Pink Sand,Розовый песок,,,,,,,粉砂,ピンクの粉末,,,,
material_apotheosis_sand_red,Red Sand,Синий песок,,,,,,,红砂,赤い粉末,,,,
material_apotheosis_sand_insect_husk,Insect Husk,Шелуха насекомого,,,,,,,虫壳,甲虫の殻,,,,
material_apotheosis_mist_poison,Poisonous Mist,Ядовитый туман,,,,,,,毒雾,ポイズンミート,,,,
material_apotheosis_gem_green,Green Gem,Зелёный самоцвет,,,,,,,绿色宝石,緑の宝玉,,,,
material_apotheosis_magic_divine_liquid,Divine Liquid,Божественная жидкость,,,,,,,神圣液体,聖なる液体,,,,
material_apotheosis_spark_orange,Orange Spark,Оранжевая искра,,,,,,,橙色火花,オレンジの火花,,,,
material_apotheosis_blood_centipede,Centipede Blood,Кровь сороконожки,,,,,,,蜈蚣血液,ムカデの血,,,,
spell_apotheosis_thrower_disc_name,Giga Disc Projectile Thrower,Метатель гигантских дисков,,,,,,,终极锯片发射器,ギガディスクスローワー,,,,
spell_apotheosis_thrower_disc_desc,Makes a projectile cast Giga Disc Projectiles in random directions,Снаряд испускает гигантские дисковые снаряды в случайном направлении,,,,,,,令投射物向随机方向发射终极锯片,放射物が周囲にギガディスクを発射するようになる。,,,,
spell_apotheosis_thrower_cursed_orb_name,Cursed Orb Thrower,Метатель проклятых сфер,,,,,,,诅咒之球发射器,呪われたオーブスローワー,,,,
spell_apotheosis_thrower_cursed_orb_desc,Makes a projectile cast Cursed Orbs in random directions,Снаряд испускает проклятые шары в случайном направлении,,,,,,,令投射物向随机方向发射诅咒之球,放射物が周囲に呪われたオーブを発射するようになる。,,,,
spell_apotheosis_thrower_tnt_name,Dynamite Thrower,Метатель динамита,,,,,,,炸药发射器,TNTスローワー,,,,
spell_apotheosis_thrower_tnt_desc,Makes a projectile cast Dynamite in random directions,Снаряд испускает динамит в случайном направлении,,,,,,,令投射物向随机方向发射炸药,放射物が周囲にTNTを発射するようになる。,,,,
spell_apotheosis_thrower_ice_ball_name,Ice Ball Thrower,Метатель ледяных шариков,,,,,,,冰球发射器,氷の玉スローワー,,,,
spell_apotheosis_thrower_ice_ball_desc,Makes a projectile cast Ice Balls in random directions,Снаряд испускает ледяные шарики в случайном направлении,,,,,,,令投射物向随机方向发射冰球,放射物が周囲に氷の玉を発射するようになる。,,,,
spell_apotheosis_thrower_nuke_name,Nuke Thrower,Метатель ядерного оружия,,,,,,,核弹发射器,核爆弾スローワー,,,,
spell_apotheosis_thrower_nuke_desc,Are you sure?,Вы уверены?,,,,,,,你确定？,これ撃つの？マジ？,,,,
spell_apotheosis_thrower_disc_enemy_name,Personal Giga Disc Projectile Thrower,Личный метатель гигантских дисков,,,,,,,专属巨型锯片发射器,パーソナルギガディスクスローワー,,,,
spell_apotheosis_thrower_disc_enemy_desc,Makes a projectile turn the creatures it hits into living Sawblade throwers,"Снаряд превращает существ, с которыми сталкивается, в метателей пил",,,,,,,令投射物击中的生物变成活着的巨型锯片发射器,放射物の当たった敵が周囲にギガディスクを発射するようになる。,,,,
spell_apotheosis_thrower_cursed_orb_enemy_name,Personal Cursed Orb Thrower,Личный метатель проклятых сфер,,,,,,,专属诅咒之球发射器,パーソナル呪われたオーブスローワー,,,,
spell_apotheosis_thrower_cursed_orb_enemy_desc,Makes a projectile turn the creatures it hits into living Cursed Orb throwers,"Снаряд превращает существ, с которыми сталкивается, в метателей проклятых сфер",,,,,,,令投射物击中的生物变成活着的诅咒之球发射器,放射物の当たった敵が周囲に呪われたオーブを発射するようになる。,,,,
spell_apotheosis_thrower_ice_ball_enemy_name,Personal Ice Ball Thrower,Личный метатель ледяных шариков,,,,,,,专属冰球发射器,パーソナル氷の玉スローワー,,,,
spell_apotheosis_thrower_ice_ball_enemy_desc,Makes a projectile turn the creatures it hits into living Ice Ball throwers,"Снаряд превращает существ, с которыми сталкивается, в метателей ледяных шариков",,,,,,,令投射物击中的生物变成活着的冰球发射器,放射物の当たった敵が周囲に呪われたオーブを発射するようになる。,,,,
spell_apotheosis_thrower_tnt_enemy_name,Personal Dynamite Thrower,Личный метатель динамита,,,,,,,专属炸药发射器,パーソナルTNTスローワー,,,,
spell_apotheosis_thrower_tnt_enemy_desc,Makes a projectile turn the creatures it hits into living Dynamite throwers,"Снаряд превращает существ, с которыми сталкивается, в метателей динамита",,,,,,,令投射物击中的生物变成活着的炸药发射器,放射物の当たった敵が周囲にTNTを発射するようになる。,,,,
spell_apotheosis_thrower_nuke_enemy_name,Personal Nuke Thrower,Личный метатель ядерного оружия,,,,,,,专属核弹发射器,パーソナル核爆弾スローワー,,,,
spell_apotheosis_thrower_nuke_enemy_desc,Makes a projectile turn the creatures it hits into living... Nuke throwers?!?!!,"Снаряд превращает существ, с которыми сталкивается, в... метателей ядерного оружия?!?!!",,,,,,,令投射物击中的生物变成活着的...核弹(?!)发射器,放射物の当たった敵が発射するようになる……核爆弾を！？,,,,
spell_apotheosis_holy_orb_barrage_name,Holy Orb Barrage,Шквал священных сфер,,,,,,,圣球之幕,聖なる弾幕,,,,
spell_apotheosis_holy_orb_barrage_desc,Casts a barrage of 7 holy orbs. Also has some magical properties...,Вызывает шквал из 7 святых шаров. Также обладает некоторыми магическими свойствами...,,,,,,,施放由 7 个神圣法球组成的弹幕。同时也有一些魔法属性...,7発の聖なる弾を発射する。若干の魔法特性もある。,,,,
spell_apotheosis_cursed_orb_barrage_name,Cursed Orb Barrage,Шквал проклятых сфер,,,,,,,邪球之幕,邪悪な弾幕,,,,
spell_apotheosis_cursed_orb_barrage_desc,Casts a barrage of 7 cursed orbs. Has some noticeably destructive properties.,Вызывает шквал из 7 проклятых шаров. Обладает заметными разрушительными свойствами.,,,,,,,施放由 7 个邪恶法球组成的弹幕。具有一些明显的破坏属性。,7発の邪悪な弾を発射する。強力な破壊の力を秘めている。,,,,
spell_apotheosis_giga_bomb_name,Giga Bomb,Большая бомба,,,,,,,巨型炸弹,ギガボム,,,,
spell_apotheosis_giga_bomb_desc,Explosion!!,Бум!!,,,,,,,ExpIosion！！,エクスプロージョン！！,,,,
spell_apotheosis_aqua_mine_name,Aqua Mine,Водяная мина,,,,,,,水雷,機雷,,,,
spell_apotheosis_aqua_mine_desc,Creates an explosive Aquamine with subtle homing properties.,Создёет взрывоопасную водяную мину с тонкими свойствами самонаведения.,,,,,,,创造一个缓缓追踪敌人的爆炸性水雷投射物。,浮遊する機雷を設置する。ホーミング性能が少しある。,,,,
spell_apotheosis_mass_materia_conversion_name,Mass Materia Conversion,Массовое преобразование материалов,,,,,,,群体物质转换,マテリア変換,,,,
spell_apotheosis_mass_materia_conversion_desc,Cave quid volunt,Cave quid volunt,,,,,,,小心欲望的洪流！,Cave quid volunt(欲望に流されるべからず),,,,
spell_apotheosis_bungal_shift_name,Fungal Shift,Грибковое смещение,,,,,,,真菌转换,きのこシフト,,,,
spell_apotheosis_bungal_shift_desc,Cave quid volunt,Cave quid volunt,,,,,,,小心欲望的洪流！,Cave quid volunt(欲望に流されるべからず),,,,
spell_apotheosis_musical_proj_name,Musical Strike,Музыкальный удар,,,,,,,音乐打击,ミュージックストライク,,,,
spell_apotheosis_musical_proj_desc,"Fires a powerful musical attack, careful not to lose your creativity","Стреляет мощной музыкальной атакой, стараясь не потерять свой творческий потенциал",,,,,,,射出一股强力的音乐攻击，小心不要失去你的创造力,音楽のパワーで攻撃する。芸術は爆発だ！,,,,
spell_apotheosis_musical_proj_trig_name,Musical Strike with trigger,Музыкальный удар с активацией,,,,,,,带有触发的音乐打击,トリガー付きミュージックストライク,,,,
spell_apotheosis_musical_proj_trig_desc,"Fires a powerful musical attack, casts another spell upon collision","Стреляет мощной музыкальной атакой, при столкновении вызывает другое заклинание",,,,,,,射出一股强力的音乐攻击，并在碰撞时施放另一法术,音楽のパワーで攻撃する。着弾時に後ろの魔法を発動する。,,,,
spell_apotheosis_reverberation_name,Reverberation,Реверберация,,,,,,,回荡之声,エコー,,,,
spell_apotheosis_reverberation_desc,"Creates a reverberating sound in the air, slicing anything nearby to pieces.","Создаёт отзвук в воздухе, разрывая на куски всё, что находится поблизости.",,,,,,,一阵在空中回荡的魔声，切碎附近的一切,激しく反響する音を鳴らす。周囲のすべてを切断する力を持つ。,,,,
spell_apotheosis_bite_name,Bite,Укус,,,,,,,啃咬,かみつき,,,,
spell_apotheosis_bite_desc,...Magic?,...Волшебство?,,,,,,,...这是魔法？,魔法とは？,,,,
spell_apotheosis_bungal_shift_hyper_name,Hyper Fungal Shift,Супергрибковое смещение,,,,,,,超级真菌转换,スーパーきのこシフト,,,,
spell_apotheosis_bungal_shift_hyper_desc,Insane....,Безумие....,,,,,,,疯狂....,やばい。,,,,
spell_apotheosis_summon_worm_name,Summon Jättimato,Призыв яттимато,,,,,,,召唤巨型蠕虫,ヤッティマト召喚,,,,
spell_apotheosis_summon_worm_desc,Dangerous....,Опасно....,,,,,,,真危险....,あぶない,,,,
spell_apotheosis_bite_crit_name,Bloody Bite,Кровавый укус,,,,,,,血腥啃咬,ブラッディーかみつき,,,,
spell_apotheosis_bite_crit_desc,Magic...............................?,Волшебство...............................?,,,,,,,这是......魔法.........................?,魔法とは？？？？,,,,
spell_apotheosis_spells_to_sorako_name,Spells to Cats,Превращение в кошек,,,,,,,法术变猫咪,呪文からネコへ,,,,
spell_apotheosis_spells_to_sorako_desc,Transforms every projectile currently in the air into Cats; a cute idea,"Превращает каждый снаряд, находящийся в воздухе, в кошку. Милая идея",,,,,,,将附近自己施放的投射物转化为猫咪; 这主意有点可爱,周囲の放射物をネコに変換する。かしこい！,,,,
spell_apotheosis_split_shot_name,Split Shot,Разделяющийся выстрел,,,,,,,分裂一击,分裂ショット,,,,
spell_apotheosis_split_shot_desc,50% chance to duplicate the next cast,50% шанс на удвоение при следующем заклинании,,,,,,,50%概率复制此后的施放,次に詠唱される魔法が50％の確率で複製される。,,,,
spell_apotheosis_status_drunk_name,Mass Drunk,Массовое пьянство,,,,,,,群体醉酒,ほろ酔いフィールド,,,,
spell_apotheosis_status_drunk_desc,Affects every creature in a large radius with a drunken curse,Проклятие пьянства действует на каждое существо в большом радиусе,,,,,,,用醉酒诅咒影响大范围内的所有生物,周囲のすべての生物が特殊な酔っ払い状態になる。,,,,
spell_apotheosis_status_wet_name,Mass Wet,Массовая влага,,,,,,,群体濡湿,ずぶ濡れフィールド,,,,
spell_apotheosis_status_wet_desc,Soaks every creature in a large radius with a magical wetness,Пропитывает волшебной влагой всех существ в большом радиусе,,,,,,,用潮湿魔法浸透大范围内的所有生物,周囲のすべての生物が特殊な水濡れ状態になる。,,,,
spell_apotheosis_status_fire_name,Mass Fire,Массовый огонь,,,,,,,群体着火,炎上フィールド,,,,
spell_apotheosis_status_fire_desc,Burns every creature in a large radius with a magical fire,Сжигает волшебным огнём всех существ в большом радиусе,,,,,,,用魔法火焰灼烧大范围内的所有生物,周囲のすべての生物が特殊な炎上状態になる。,,,,
spell_apotheosis_status_urine_name,Mass Jarate,Массовое Банкате,,,,,,,群体瓶手道,尿フィールド,,,,
spell_apotheosis_status_urine_desc,Douses every creature in a large radius with a magical jarate.,Обливает всех существ в большом радиусе волшебным Банкате,,,,,,,用魔法尿瓶浇灌大范围内的所有生物,周囲のすべての生物が特殊な尿濡れ状態になる。,,,,
spell_apotheosis_status_polymorph_name,Mass Polymorph,Массовый полиморфизм,,,,,,,群体变形,変身フィールド,,,,
spell_apotheosis_status_polymorph_desc,Afflicts every creature in a large radius with a magical polymorphine,Поражает всех существ в большом радиусе волшебным полиморфизмом,,,,,,,用变形魔法影响大范围内的所有生物,周囲のすべての生物が変身する。,,,,
setting_apotheosis_catimmortality_name,Cat immortality,Бессмертие кошек,,,,,,,猫咪不会死亡,ネコの当たり判定無効化,,,,
setting_apotheosis_catimmortality_desc,Are cats immortal?,Являются ли кошки бессмертными?,,,,,,,猫咪是否不会死亡？,オンにすると、ネコが無敵になります。,,,,
setting_apotheosis_fairyimmortality_name,Fairy immortality,Бессмертие фей,,,,,,,精灵不会死亡,妖精の当たり判定無効化,,,,
setting_apotheosis_fairyimmortality_desc,Are Keiju immortal?,Являются ли Кейдзю бессмертными?,,,,,,,精灵是否不会死亡？,オンにすると、妖精が無敵になります。,,,,
setting_apotheosis_motd_name,Message of the Day,Сообщение дня,,,,,,,每日消息,今日のひとこと,,,,
setting_apotheosis_motd_desc,Will a MOTD be displayed at the start of each run? \nMay contain bonus hints for various secrets.,Будет ли сообщение дня отображаться в начале каждого забега? \nМожет содержать бонусные подсказки с различными секретами.,,,,,,,每局游戏开始前是否显示每日信息？\n其中可能向你提示各种秘密。,オンにすると、スタート地点に今日のひとことが書かれた看板が配置されます。\n隠し要素のヒントが書いてあることも？,,,,
setting_apotheosis_seasonal_name,Seasonal Events,Сезонные события,,,,,,,节日事件,季節イベント,,,,
setting_apotheosis_seasonal_desc,"Are seasonal events enabled? \nFor example, Halloween, More Creep's Birthday, etc.","Включены ли сезонные события? \nНапример, Хэллоуин, день рождения мода More Creep и т.д.",,,,,,,是否启用节日事件？\n例如万圣节，更多恐怖（译者注：本模组前身）的生日，等等,季節イベントを有効にしますか？\nハロウィンやMODのリリース記念日など、追加イベントがたくさん！,,,,
setting_apotheosis_bosshealthmultiplier_name,Boss Health Multiplier,Множитель здоровья босса,,,,,,,Boss 血量倍数,ボスのHP増加,,,,
setting_apotheosis_bosshealthmultiplier_desc,"Multiply all Bosses health by this much. \nFor those who seek extra durable opponents. \nDoes not affect Kolmisilma \nMinibosses will also have their health boosted by a partial amount. \nThis can be changed mid-run but may not update for all bosses, remember to restart after updating the multiplier.\n \nFor Modders: \nIf your mod isn't listed in the compatibility section of the mod page, \nthis likely won't boost it, you'll need to add a lua component to your bosses. \nDo not hesitate to contact me for instructions or help if needed. \nIt would be easiest for me to respond to you on discord, Conga Lyne#2452","Умножает здоровье всех боссов на это количество. \nДля тех, кто ищет особо стойких противников. \nНе влияет на Колмисильмяна \nМини-боссы также будут иметь частичное увеличение здоровья. \nЭто можно изменить в середине игры, но не для всех боссов, не забудьте перезапустить игру после обновления множителя.\n \nДля создателей модов: \nЕсли ваш мод не указан в разделе совместимости на странице модов, \nэто скорее всего не поможет, вам придётся добавить lua компонент к вашим боссам. \nНе стесняйтесь обращаться ко мне за инструкциями или помощью, если это необходимо. \nМне будет проще всего ответить вам в discord, Conga Lyne#2452.",,,,,,,将所有 Boss 的血量乘以此值。\n适合那些需要 Boss 更耐打的玩家。\n不影响三眼的血量。\n小 Boss 的血量也会得到部分提升。\n这个选项可以在游戏中途更改，\n但不一定会更新所有 Boss 的血量，\n记得在更改后重启游戏。\n \n写给模组开发者：\n如果你的模组没有被列在本模组的兼容性部分中，\n那么这个选项很可能不可用，你需要为你的 Boss 添加一个lua组件。\n如果需要指导或帮助，请随时联系我。\n我可以在 Discord 上回复你，这样最方便，Conga Lyne#2452,ボスのHPに倍率補正をかける上級者向けの設定です。\nコルミシルマには効果がありません。\nまた、ピットボスなどの中ボスにも一定程度効果が適用されます。\nプレイ中に設定を変更することも可能ですが、変更時はゲームを再起動してください。\nなお、ワークショップの対応MOD欄に記載されていないMODのボスには効果が適用されません。\nMOD製作者の方へ:適用させるためには専用のスクリプトが必要です。\n詳しくはDiscordでConga Lyne#2452にDMしてください。,,,,
setting_apotheosis_compatmode_conjurer_name,Conjurer extra Compatibility mode,Режим совместимости: Conjurer,,,,,,,Conjurer模组额外兼容模式,Conjurer連携,,,,
setting_apotheosis_compatmode_conjurer_desc,"Some people may have issues with this mod not loading into Conjurer properly. \nIf this happens, try enabling this option and loading conjurer again. \n \nThis option is on by default but can be turned off if you wish to \nhave the pixel scenes & bosses appear in conjurer worlds. \n \nIf Conjurer still fails to load despite having this turned on, although unlikely, \nit may be a mod compatibility issue with something else, \nperhaps try disabling mods to find the troublesome one. \n \nIf nothing else works please let me know to by filing a bug report to me. \nIt would be easiest for me to reach & investigate your report at the discord link below: \nhttps://discord.gg/gtyGnv8Pxk","У некоторых людей могут возникнуть проблемы с тем, что этот мод не загружается вместе с модом Conjurer должным образом. \nЕсли это произошло, попробуйте включить этот параметр и загрузить Conjurer снова. \n \nЭта опция включена по умолчанию, но может быть выключена, если вы хотите, чтобы пиксельные сцены и боссы появлялись в мирах Conjurer. \n \nЕсли Conjurer всё ещё не загружается, несмотря на включение этого параметра, хотя это маловероятно, \nможет быть проблема совместимости мода с чем-то другим, \nвозможно, попробуйте отключить все моды поочерёдно, чтобы найти проблемный. \nЕсли ничего не помогает, пожалуйста, сообщите мне об этом, написав сообщение об ошибке. \nМне будет проще всего связаться и изучить ваше сообщение по ссылке на discord: \nhttps://discord.gg/gtyGnv8Pxk",,,,,,,如果遇到启用此模组无法正常加载Conjurer模组的情况，\n请尝试启用此选项并重新加载 Conjurer模组。\n \n此选项默认打开，但如果您希望此模组的场景和Boss\n出现在Conjurer世界中，则需要关闭此选项。\n \n如果在打开此选项后仍然无法加载Conjurer模组，\n虽然可能性不大，但可能是其他模组的兼容性问题，\n你可以尝试依次禁用其它模组来找出有问题的模组。\n \n如果没有办法解决，请向我提交错误报告。\n可以通过下面的Discord链接与我取得联系并提交您的报告：\nhttps://discord.gg/gtyGnv8Pxk,Conjurerと同時導入時に発生する不具合が報告されています。\n不具合が発生する場合は、この設定をオンにした上でConjurerを再読み込みしてください。\n \nこの設定は初期状態でオンになっていますが、\nピクセルシーン、ボスなどの要素をConjurer環境でも楽しみたい場合はオフにしてください。\n \nこの設定をオンにしても不具合が直らない場合は、別の原因が考えられます。\nその場合は、MOD一覧から原因となっているMODを無効にしてください。\n \nそれでも回復しない場合は、こちらまで連絡してください。→https://discord.gg/gtyGnv8Pxk,,,,
setting_apotheosis_compatmode_spell_evolution_name,Spell Evolution Compatibility Mode,Режим совместимости: Spell Evolution,,,,,,,Spell Evolution模组额外兼容模式,Spell Evolution連携,,,,
